id,cliente_id,produto_id,quantidade,data_venda,valor_total,margem_lucro,mes_venda
1,874,197,1,2025-07-11 06:42:53.762786,446.46,89.292,2025-07
2,78,59,8,2025-07-06 11:47:24.688513,2326.72,465.344,2025-07
3,387,304,9,2025-04-20 00:39:18.952264,2122.11,424.422,2025-04
4,644,69,8,2025-02-03 09:58:21.228285,897.6,179.52,2025-02
5,665,336,4,2025-11-02 17:25:47.862013,1336.44,267.288,2025-11
6,968,31,2,2025-01-24 19:12:20.151744,385.2,77.04,2025-01
7,748,82,7,2025-03-22 16:24:59.589325,3349.99,669.998,2025-03
8,106,28,1,2025-11-06 15:26:10.048977,90.86,18.172,2025-11
9,941,159,7,2025-07-12 09:07:54.199293,3243.24,648.648,2025-07
10,479,82,3,2025-04-23 23:26:46.497429,1435.71,287.142,2025-04
11,744,362,9,2025-05-29 12:15:24.780332,2499.57,499.91400000000004,2025-05
12,613,195,8,2025-09-24 05:59:23.915627,1404.08,280.816,2025-09
13,854,40,4,2025-01-28 19:01:25.297819,773.16,154.632,2025-01
14,848,151,9,2025-07-25 06:36:21.596768,831.42,166.284,2025-07
15,161,79,6,2025-07-21 21:06:29.519823,1711.1399999999999,342.228,2025-07
16,32,339,4,2025-01-03 17:57:23.921713,221.84,44.368,2025-01
17,961,385,5,2024-12-05 14:30:07.180780,1290.8000000000002,258.16,2024-12
18,365,240,8,2024-11-17 05:23:50.721842,3737.52,747.504,2024-11
19,777,193,9,2025-03-19 10:05:08.002860,1765.08,353.016,2025-03
20,72,126,7,2025-04-10 04:04:41.024261,2384.69,476.93800000000005,2025-04
21,898,386,1,2025-08-14 16:11:51.752949,490.7,98.14,2025-08
22,892,466,4,2025-02-08 14:20:58.822711,1746.32,349.264,2025-02
23,949,461,1,2025-03-03 00:43:45.648426,237.29,47.458,2025-03
24,634,132,7,2025-09-26 16:35:02.934855,158.34,31.668000000000003,2025-09
25,383,113,3,2024-11-12 16:40:06.819079,194.85000000000002,38.970000000000006,2024-11
26,195,110,7,2025-08-18 12:47:48.315494,2512.02,502.404,2025-08
27,215,306,6,2025-05-17 13:24:29.578517,1489.68,297.93600000000004,2025-05
28,901,259,8,2025-07-26 23:53:34.435161,2938.48,587.696,2025-07
29,989,44,5,2025-04-22 17:23:06.140568,858.8,171.76,2025-04
30,151,311,2,2024-11-23 18:05:40.981771,424.98,84.99600000000001,2024-11
31,804,445,8,2025-05-04 02:22:26.671800,1745.52,349.10400000000004,2025-05
32,671,40,1,2025-02-06 19:13:44.035889,193.29,38.658,2025-02
33,121,341,9,2025-04-25 23:03:52.722719,2994.93,598.986,2025-04
34,546,82,4,2025-06-05 06:04:52.802883,1914.28,382.856,2025-06
35,210,160,7,2025-09-24 23:16:34.374020,3113.46,622.692,2025-09
36,250,40,7,2025-09-15 21:27:18.640906,1353.03,270.606,2025-09
37,25,162,7,2025-09-03 22:39:42.322659,1525.72,305.144,2025-09
38,324,463,4,2025-02-26 22:14:21.153301,567.6,113.52000000000001,2025-02
39,474,413,5,2024-11-22 22:14:39.746556,1184.0,236.8,2024-11
40,667,196,9,2025-09-13 09:10:15.436741,4066.65,813.33,2025-09
41,782,116,7,2025-10-01 06:15:16.878253,3345.09,669.018,2025-10
42,543,283,1,2025-01-03 07:10:19.543993,186.5,37.300000000000004,2025-01
43,902,196,7,2025-04-02 07:54:26.285682,3162.9500000000003,632.5900000000001,2025-04
44,869,440,9,2024-11-22 03:47:01.890846,1435.05,287.01,2024-11
45,702,454,4,2025-07-31 20:15:47.460031,1526.88,305.37600000000003,2025-07
46,66,12,9,2024-11-10 01:15:22.081787,1711.2599999999998,342.25199999999995,2024-11
47,549,111,7,2025-08-08 06:20:57.599547,2129.75,425.95000000000005,2025-08
48,909,288,5,2025-02-10 09:15:34.522950,1718.25,343.65000000000003,2025-02
49,223,371,6,2025-06-30 00:14:22.814584,652.08,130.41600000000003,2025-06
50,68,471,1,2025-02-23 13:30:32.440727,169.32,33.864,2025-02
51,763,279,1,2024-12-20 03:45:55.814186,63.8,12.76,2024-12
52,818,468,3,2025-10-19 00:18:57.298285,1442.91,288.58200000000005,2025-10
53,99,412,9,2024-12-05 00:29:20.709978,4482.2699999999995,896.454,2024-12
54,778,364,9,2025-10-03 22:01:14.194345,462.51,92.50200000000001,2025-10
55,939,358,4,2025-05-23 04:49:52.682844,350.8,70.16000000000001,2025-05
56,341,383,3,2024-12-18 13:09:10.382078,732.5699999999999,146.51399999999998,2024-12
57,629,459,2,2025-06-08 04:49:23.903497,737.8,147.56,2025-06
58,133,136,6,2025-01-29 10:44:46.302415,1136.76,227.352,2025-01
59,275,307,4,2025-02-25 16:58:42.516495,426.48,85.296,2025-02
60,644,221,1,2025-04-18 10:47:15.493241,85.71,17.142,2025-04
61,166,414,7,2025-03-22 20:07:58.942249,3390.3799999999997,678.076,2025-03
62,550,260,3,2025-03-03 21:21:23.070163,1303.59,260.718,2025-03
63,331,182,5,2025-05-16 08:55:48.558099,2010.25,402.05,2025-05
64,278,391,1,2025-07-02 19:52:11.276155,122.64,24.528000000000002,2025-07
65,494,342,4,2025-05-16 14:45:32.248424,1659.08,331.81600000000003,2025-05
66,775,276,4,2025-09-08 23:28:27.025284,1111.88,222.37600000000003,2025-09
67,860,462,1,2025-08-04 23:45:38.921323,36.77,7.354000000000001,2025-08
68,62,363,9,2025-08-13 04:13:04.666508,948.6,189.72000000000003,2025-08
69,857,394,6,2025-06-07 02:06:28.525780,504.29999999999995,100.86,2025-06
70,214,425,8,2025-05-22 08:20:38.642445,3859.84,771.9680000000001,2025-05
71,488,48,7,2025-02-03 08:44:20.191025,3222.3799999999997,644.476,2025-02
72,985,23,6,2025-02-07 21:36:01.577223,2726.94,545.388,2025-02
73,325,50,5,2025-07-26 20:49:30.024636,394.75,78.95,2025-07
74,972,4,1,2024-12-03 22:15:54.613101,112.96,22.592,2024-12
75,30,134,5,2025-06-28 15:46:48.455689,835.5500000000001,167.11,2025-06
76,37,188,5,2025-05-02 19:15:35.110178,1816.55,363.31,2025-05
77,150,378,9,2025-09-28 14:38:54.514035,4094.28,818.8560000000001,2025-09
78,937,356,7,2025-07-05 01:34:46.121408,296.45,59.29,2025-07
79,198,168,3,2025-06-17 14:50:02.553965,774.24,154.848,2025-06
80,334,94,3,2025-04-03 02:02:24.253240,256.89,51.378,2025-04
81,245,276,7,2025-03-23 05:29:45.161864,1945.7900000000002,389.1580000000001,2025-03
82,112,439,9,2025-04-26 02:15:23.403262,977.3100000000001,195.46200000000002,2025-04
83,77,127,7,2025-07-25 01:10:46.985569,3220.91,644.182,2025-07
84,567,260,6,2025-01-03 01:44:05.828284,2607.18,521.436,2025-01
85,33,57,7,2024-12-18 19:19:06.880585,3407.8799999999997,681.576,2024-12
86,363,61,8,2025-04-16 05:01:18.351043,3893.12,778.624,2025-04
87,165,451,2,2025-10-22 17:40:29.696025,324.3,64.86,2025-10
88,709,1,6,2025-01-23 20:50:18.081311,473.04,94.608,2025-01
89,88,183,5,2024-12-25 16:49:16.879529,1406.6,281.32,2024-12
90,725,433,1,2024-11-24 23:00:42.410714,260.5,52.1,2024-11
91,135,286,9,2025-10-24 04:34:41.768276,2699.19,539.8380000000001,2025-10
92,693,327,5,2024-12-12 16:45:59.098825,2416.5,483.3,2024-12
93,94,4,3,2025-01-05 09:31:33.779966,338.88,67.776,2025-01
94,590,170,8,2025-08-12 13:16:59.932672,387.12,77.424,2025-08
95,574,1,8,2025-10-19 08:42:19.843539,630.72,126.144,2025-10
96,745,96,2,2025-09-06 00:15:39.498275,674.94,134.98800000000003,2025-09
97,974,305,3,2025-09-29 20:19:24.877838,1124.01,224.80200000000002,2025-09
98,613,201,3,2024-11-14 20:43:49.635483,838.89,167.77800000000002,2024-11
