id,produto_id,quantidade,data_compra,custo_total
1,454,93,2025-01-23 03:55:50.051533,20024.76
2,394,42,2025-05-30 23:24:29.732431,9712.92
3,491,53,2025-06-21 16:24:23.808410,2695.05
4,384,12,2025-01-13 18:55:38.864378,4085.16
5,388,87,2024-11-29 13:35:31.174950,29767.92
6,244,37,2025-03-29 10:13:24.477259,12486.02
7,100,32,2024-11-23 12:31:18.025733,349.12
8,104,69,2025-09-05 11:23:52.443507,10520.43
9,130,46,2024-12-27 15:39:02.779595,7194.86
10,213,79,2025-04-19 02:13:12.917033,8358.2
11,355,65,2025-06-15 14:18:26.019936,7042.1
12,222,72,2025-09-26 22:01:03.100698,26068.32
13,140,95,2025-07-04 19:10:09.174470,15501.15
14,53,66,2025-09-30 16:08:07.345359,9583.2
15,491,25,2025-05-21 10:01:36.143337,8137.0
16,358,73,2025-04-01 18:57:04.927269,7747.49
17,373,48,2025-07-11 20:55:51.843517,12351.36
18,35,82,2025-04-27 18:28:40.419838,4810.94
19,484,55,2025-04-28 09:03:40.454662,20051.35
20,9,82,2025-08-29 18:10:20.888976,12670.64
21,241,20,2024-11-10 21:16:24.728498,780.2
22,302,79,2024-11-11 13:42:32.509266,22703.02
23,497,52,2025-04-29 14:33:03.193125,2321.28
24,318,14,2025-04-10 04:56:43.436918,3095.82
25,464,61,2025-02-03 23:09:37.741709,1700.68
26,443,12,2025-10-29 07:42:52.920729,1955.64
27,450,46,2024-11-19 01:47:39.685547,14446.3
28,112,55,2025-10-24 01:04:39.537651,5899.3
29,406,65,2025-03-03 04:52:42.685563,23777.65
30,472,75,2024-11-13 20:11:47.013294,29365.5
31,381,16,2025-07-29 05:26:36.382864,4941.28
32,377,16,2025-02-02 03:49:54.226957,5688.16
33,379,57,2025-08-03 17:14:05.293829,18351.15
34,98,38,2025-09-12 23:26:12.586375,4472.6
35,157,46,2025-10-31 15:11:41.736762,6017.26
36,362,74,2025-07-31 00:30:28.211697,13156.46
37,159,50,2025-05-09 00:57:02.999528,13053.0
38,466,25,2025-10-29 10:55:28.600744,4308.5
39,189,71,2025-03-07 08:47:05.648411,13866.3
40,198,38,2025-02-03 10:48:27.654034,11236.98
41,251,81,2025-02-10 02:16:40.840847,30404.16
42,205,66,2025-05-12 11:34:05.735291,25304.4
43,86,45,2025-07-20 15:35:51.452756,4426.65
44,478,10,2025-07-28 19:29:16.233110,3842.7
45,395,11,2025-08-29 04:27:17.947438,1246.74
46,492,60,2025-01-14 15:20:06.635128,6952.2
47,291,93,2024-11-26 00:37:15.279505,11133.96
48,195,99,2025-04-01 20:53:54.617489,966.24
49,93,83,2025-01-09 04:42:37.730676,26964.21
50,429,84,2025-10-03 17:44:41.656726,1052.52
51,62,52,2025-10-26 12:44:13.239759,5881.2
52,190,99,2024-12-29 16:44:05.891784,28373.4
53,344,31,2025-06-06 10:41:50.433531,10272.47
54,304,49,2025-01-29 17:36:38.959013,12250.49
55,387,18,2025-06-15 17:56:21.799084,6014.7
56,65,83,2025-07-06 01:15:41.538059,2934.88
57,435,63,2025-08-14 15:11:11.242198,15706.53
58,37,47,2025-04-10 01:55:40.992908,385.4
59,86,70,2025-09-22 23:39:32.451839,20246.8
60,169,52,2025-01-19 18:31:07.269072,12864.28
61,377,72,2024-12-04 18:09:32.224131,1035.36
62,443,52,2025-10-10 17:27:06.171689,18631.08
63,8,32,2025-02-05 12:06:36.904228,8952.32
64,402,12,2025-09-15 23:09:12.570654,3412.08
65,386,46,2025-04-06 14:06:39.508592,7956.16
66,428,41,2024-12-19 09:12:23.876678,15973.19
67,226,80,2024-11-13 21:01:22.157397,5718.4
68,83,35,2025-02-08 12:27:03.000589,8787.8
69,161,81,2025-05-14 04:59:47.226621,30818.88
70,280,68,2025-07-14 04:04:14.307850,15120.48
71,152,32,2025-08-18 19:24:27.437254,12602.56
72,4,50,2025-07-31 01:57:22.366219,19850.5
73,326,29,2025-07-07 12:56:46.058716,2515.46
74,449,23,2025-04-19 09:56:07.723764,2138.77
75,351,97,2025-01-18 09:07:10.370805,12900.03
76,328,60,2024-11-22 16:27:47.871667,4716.0
77,49,76,2025-09-22 05:34:46.629304,8730.88
78,417,67,2025-11-06 01:09:29.895014,6803.85
79,6,30,2025-04-06 02:47:11.538529,310.5
80,169,72,2025-09-23 05:51:23.034353,14039.28
81,302,52,2025-02-27 20:37:46.661116,10218.0
82,453,96,2025-07-08 00:49:45.547136,33095.04
83,185,32,2024-11-10 11:45:02.870476,3709.12
84,267,14,2024-12-07 07:01:00.554831,3119.62
85,199,19,2024-12-07 05:17:56.318529,6347.33
86,370,38,2025-04-18 12:23:46.581091,13627.94
87,274,63,2025-07-20 07:54:19.579035,16848.09
88,275,87,2025-02-01 12:32:35.423275,10607.04
89,266,83,2025-06-29 05:18:20.030742,24367.97
90,284,32,2025-09-09 22:15:12.830012,10259.52
91,315,64,2025-10-27 19:48:19.542241,12148.48
92,354,95,2025-03-02 17:54:34.023599,20651.1
93,311,53,2025-04-25 02:13:28.314407,18930.54
94,397,16,2025-01-28 19:48:14.587772,5535.36
95,380,45,2024-11-20 19:01:31.894630,12337.65
96,357,80,2025-11-06 22:34:58.367532,18049.6
97,17,97,2025-10-09 18:55:02.550443,29333.77
98,286,42,2025-03-17 23:32:29.038999,3179.82
99,414,70,2024-12-23 07:19:08.955042,9864.4
100,313,97,2025-06-21 08:36:56.812334,6643.53
101,317,17,2025-06-20 01:15:37.969235,3764.31
102,4,34,2025-06-05 00:52:36.306570,5529.76
103,247,48,2025-09-25 23:58:57.548763,17392.8
104,165,72,2025-11-05 13:53:03.264322,20490.48
105,443,60,2025-03-19 12:33:42.498863,322.8
106,489,79,2025-10-22 18:51:11.965088,11319.91
107,489,52,2025-06-12 18:26:03.440469,19257.68
108,404,31,2025-01-20 02:08:29.949144,11510.92
109,297,33,2025-01-14 08:03:21.806237,3694.68
110,496,32,2025-01-29 16:37:45.293740,1727.68
111,325,48,2025-10-14 07:40:08.171573,13854.24
112,10,70,2025-06-10 03:35:38.642299,10366.3
113,277,63,2025-05-04 20:05:18.508779,18767.7
114,165,91,2025-03-01 22:05:58.472357,4206.93
115,334,46,2025-06-03 21:20:30.385581,3028.64
116,436,37,2025-03-20 13:05:09.526616,5305.8
117,26,95,2025-09-13 20:01:19.141446,13207.85
118,72,57,2025-01-19 22:43:50.608147,10320.42
119,20,71,2025-05-15 15:45:01.045642,1188.54
120,296,63,2025-02-10 22:26:44.982766,15956.01
121,195,33,2025-07-09 16:53:21.717788,11041.14
122,335,80,2024-11-07 17:43:40.960097,17315.2
123,244,16,2025-02-20 16:45:39.823995,3063.36
124,346,78,2025-01-04 23:21:50.492796,3579.42
125,118,68,2025-10-19 05:13:31.190948,15155.84
126,100,60,2025-11-02 01:23:21.008282,16944.6
127,460,97,2025-04-14 13:22:26.758157,25505.18
128,58,71,2025-04-10 21:52:15.004560,22673.85
129,452,17,2025-10-12 21:52:03.964583,6054.55
130,116,73,2025-04-19 21:33:53.754686,4665.43
131,12,88,2025-07-01 17:45:13.638008,22694.32
132,188,64,2025-03-29 00:09:28.335105,1197.44
133,50,19,2024-12-16 20:30:58.203024,4456.45
134,129,10,2025-04-29 23:34:27.693887,2224.2
135,201,19,2025-04-04 14:05:38.622960,7159.96
136,497,37,2025-08-13 04:00:08.582250,2039.07
137,87,87,2025-01-21 04:32:06.779369,29345.1
138,25,28,2025-02-17 22:42:44.268116,469.0
139,340,27,2025-09-09 03:27:26.544761,4690.98
140,122,19,2025-07-20 11:17:01.709747,704.9
141,219,49,2025-04-19 04:40:44.570312,8156.05
142,188,45,2025-10-05 08:00:36.262159,12294.0
143,202,50,2025-02-24 09:12:15.559416,11253.0
144,457,47,2025-03-22 01:13:40.083676,14865.16
145,293,93,2024-12-27 16:49:44.560119,22911.48
146,234,48,2025-05-19 04:17:19.003467,18355.2
147,27,64,2025-04-16 23:21:43.563998,20200.32
148,11,57,2024-12-05 09:47:23.696950,6327.0
149,73,41,2025-10-05 02:34:51.853937,3085.66
150,10,89,2025-07-02 19:46:10.977547,4853.17
151,434,64,2025-03-22 21:09:26.129187,6078.08
152,265,24,2025-09-08 17:38:41.122186,3459.84
153,351,92,2025-06-10 03:10:45.773042,8958.04
154,31,30,2025-07-11 05:13:24.902592,8315.7
155,66,78,2025-05-25 12:56:47.985995,7009.86
156,365,99,2024-12-16 11:39:44.167185,39238.65
157,32,83,2024-12-20 05:45:39.599160,1118.01
158,42,76,2025-05-04 03:26:51.071651,26957.96
159,51,68,2024-12-19 16:44:50.889668,2040.0
160,298,52,2025-02-25 13:38:59.376132,8561.8
161,408,75,2025-02-25 08:29:02.182223,27477.0
162,123,51,2024-12-21 10:45:33.381052,3454.74
163,37,73,2025-03-21 20:14:14.204847,14847.47
164,411,69,2025-05-10 10:18:06.624778,8059.2
165,458,56,2025-09-03 02:54:46.556132,6801.2
166,412,98,2025-07-22 20:45:49.858691,32351.76
167,272,73,2025-08-14 04:22:31.782600,10914.23
168,418,84,2025-07-25 07:30:43.096489,19616.52
169,469,82,2025-06-29 21:23:57.201178,26208.84
170,223,78,2025-03-29 05:34:49.189928,20742.54
171,271,49,2025-08-24 20:59:31.878592,19496.12
172,106,83,2025-08-16 15:23:09.337655,31535.85
173,299,20,2025-02-22 02:02:10.464586,3324.8
174,350,13,2025-10-19 02:55:38.686853,4631.9
175,96,91,2024-12-24 22:34:08.844616,12578.02
176,33,74,2025-02-09 05:47:20.404706,23699.98
177,253,26,2025-07-27 17:50:54.190503,7379.58
178,187,93,2025-06-21 02:55:25.020758,7288.41
179,135,90,2025-10-16 05:24:27.974041,10530.0
180,278,78,2025-05-03 03:47:55.330637,4077.06
181,241,52,2025-05-18 11:35:39.853847,13313.56
182,234,18,2024-11-23 00:07:14.944310,6201.0
183,436,34,2025-01-06 14:57:38.082612,1861.16
184,379,47,2024-12-06 06:26:09.239325,3304.57
185,249,47,2025-11-04 15:46:32.217618,9066.77
186,478,70,2025-01-13 23:10:27.593298,5938.8
187,40,31,2025-02-22 08:44:13.125906,7458.6
