id,nome,categoria,preco,estoque,fornecedor
1,Maxime Voluptate,Casa,301.44,999,Almeida - EI
2,Itaque Accusamus,Brinquedos,114.24,243,da Mota da Luz S/A
3,Debitis Quaerat,Brinquedos,166.36,53,da Rocha
4,Ut Quae,Livros,128.01,242,Souza Oliveira Ltda.
5,Dignissimos Provident,Alimentos,19.57,58,Azevedo Ferreira Ltda.
6,Natus Quos,Brinquedos,56.66,648,Fogaça da Rosa S.A.
7,Vero Maxime,Saúde,270.09,388,Gomes
8,Minus Dicta,Roupas,213.95,980,Correia S.A.
9,Doloribus Repellat,Casa,455.93,233,Rodrigues
10,Quos Minima,Alimentos,357.58,544,Melo S.A.
11,Pariatur Deleniti,Brinquedos,475.65,837,Barbosa S/A
12,Ratione Accusantium,Livros,411.31,522,Nogueira e Filhos
13,Ab Dolore,Casa,96.9,572,Rezende
14,Aliquid Soluta,Beleza,191.28,748,Cunha
15,Illo Adipisci,Brinquedos,353.3,662,da Cunha Nogueira - ME
16,At Velit,Brinquedos,161.07,909,Farias Costa e Filhos
17,Amet Maxime,Brinquedos,366.13,348,Pereira - EI
18,Nobis Dignissimos,Bebidas,293.65,46,Araújo e Filhos
19,Temporibus Nulla,Brinquedos,113.01,733,Rodrigues Cunha e Filhos
20,Praesentium Magnam,Brinquedos,417.28,439,Dias Duarte Ltda.
21,Enim Esse,Roupas,445.46,451,Cavalcanti
22,Amet Possimus,Alimentos,240.09,937,Pinto
23,Nam Aut,Bebidas,488.22,846,da Cruz Barbosa - EI
24,A Dolore,Beleza,136.41,316,Pinto Ltda.
25,Quidem Molestiae,Bebidas,316.48,441,Pinto
26,Perspiciatis Non,Livros,158.94,842,Araújo Dias - EI
27,Voluptatem Exercitationem,Casa,357.59,952,Moraes Pires S/A
28,Ipsa Sapiente,Roupas,392.49,120,Duarte Carvalho - ME
29,Odit Aliquam,Bebidas,174.59,501,Farias
30,Voluptate Culpa,Bebidas,310.56,245,da Paz Viana S/A
31,Voluptas Corporis,Alimentos,415.28,519,Ramos
32,Nulla Unde,Esportes,308.5,610,Pereira
33,Facere Laboriosam,Beleza,136.31,677,Pires
34,Autem Autem,Saúde,290.82,197,Duarte Correia - EI
35,Debitis Incidunt,Brinquedos,420.57,979,Aragão e Filhos
36,Esse Provident,Roupas,49.55,447,da Costa S.A.
37,Quae Similique,Livros,194.08,897,Souza S/A
38,Perferendis Voluptatibus,Roupas,117.16,378,Fernandes Costa S/A
39,Sed Delectus,Alimentos,23.27,599,Ribeiro
40,Harum Quaerat,Bebidas,460.63,531,Barros
41,Sequi Unde,Brinquedos,158.12,235,Pinto Azevedo S/A
42,Saepe Sint,Livros,163.15,606,Pinto S.A.
43,Adipisci Atque,Roupas,132.91,532,Fogaça
44,Corporis Blanditiis,Brinquedos,30.13,44,Ferreira
45,Aperiam Mollitia,Bebidas,472.82,89,Nascimento e Filhos
46,Dolore Ullam,Saúde,334.22,840,Cardoso Almeida S/A
47,Aperiam Illo,Brinquedos,334.28,847,Correia
48,In Pariatur,Eletrônicos,94.1,146,Oliveira Lopes Ltda.
49,Voluptas Eaque,Bebidas,91.23,304,Barros
50,Quae Dolorum,Eletrônicos,217.63,796,Peixoto
51,Ut Dolor,Casa,341.02,981,Ribeiro
52,Recusandae Corrupti,Livros,169.83,124,Silva
53,Asperiores Consectetur,Saúde,168.22,590,Peixoto Teixeira - ME
54,Explicabo Distinctio,Casa,449.82,477,Nascimento
55,Adipisci Cum,Roupas,489.99,903,Lopes
56,Porro Corrupti,Eletrônicos,398.06,98,Caldeira S/A
57,Quas Cum,Brinquedos,419.36,389,Gomes
58,Deleniti Omnis,Alimentos,407.31,997,Costela Azevedo e Filhos
59,Quos Iste,Bebidas,353.1,29,Rocha
60,Inventore Natus,Eletrônicos,284.71,842,Rocha
61,Commodi Earum,Saúde,77.41,731,Viana - EI
62,Necessitatibus Voluptates,Brinquedos,399.35,368,Duarte
63,Explicabo Ducimus,Esportes,196.77,478,Cardoso
64,Minima Reprehenderit,Livros,127.44,793,Fogaça S.A.
65,Consequatur Tempora,Brinquedos,277.66,72,Dias
66,Ex Placeat,Beleza,221.71,718,Rodrigues
67,Dicta Consequuntur,Beleza,266.82,710,Gonçalves e Filhos
68,Porro Voluptatibus,Esportes,216.99,900,Moreira
69,Dolorem Eligendi,Roupas,94.98,780,Fogaça
70,Soluta Ducimus,Eletrônicos,467.17,98,das Neves - ME
71,Error Placeat,Roupas,341.13,670,Alves Nogueira e Filhos
72,Rerum Neque,Alimentos,375.24,738,Pereira Rodrigues e Filhos
73,Deserunt Temporibus,Bebidas,324.26,763,Cunha da Cunha e Filhos
74,Dignissimos Deleniti,Brinquedos,262.7,721,da Cruz
75,Error Adipisci,Esportes,138.23,760,Rezende
76,Iste Mollitia,Bebidas,378.85,849,Costa
77,Aliquid At,Bebidas,214.75,571,Mendes
78,Repudiandae Reprehenderit,Eletrônicos,171.77,347,Carvalho Costa e Filhos
79,Aut Consectetur,Bebidas,475.38,606,Cunha Almeida Ltda.
80,Natus Placeat,Brinquedos,401.77,299,Fogaça e Filhos
81,At Id,Casa,73.4,162,Rezende
82,Quod Itaque,Alimentos,157.1,700,Souza
83,Laborum Cumque,Bebidas,238.27,596,da Mota
84,Qui Quia,Bebidas,231.69,786,Caldeira
85,Quibusdam Laboriosam,Saúde,176.8,910,da Luz S.A.
86,Ab Tenetur,Roupas,386.34,967,da Cruz Barros Ltda.
