id,cliente_id,produto_id,quantidade,data_venda,valor_total
1,36,67,5,2025-06-06 19:06:46.013297,118.8
2,848,264,6,2025-03-05 23:52:46.012128,2414.16
3,165,245,5,2025-01-28 09:43:04.024343,2003.9
4,467,167,8,2025-07-02 06:27:41.834270,813.6
5,777,4,5,2025-03-04 02:04:05.622456,1933.8
6,268,27,8,2025-01-24 16:51:18.582397,1703.52
7,989,51,5,2025-06-14 11:59:48.055288,1870.05
8,599,284,9,2025-08-31 23:41:55.402568,3395.34
9,727,59,9,2025-07-06 10:38:33.444769,301.68
10,230,369,1,2024-12-31 00:23:25.702651,201.86
11,551,440,5,2025-09-18 21:55:40.864428,154.2
12,644,461,4,2025-08-31 17:22:02.756989,1191.8
13,783,462,6,2025-03-18 03:53:46.231790,818.94
14,503,55,4,2024-12-29 18:41:06.875262,1433.56
15,751,11,6,2025-10-17 10:41:00.365490,321.72
16,272,134,6,2025-02-10 23:13:47.667317,275.46
17,37,288,5,2025-02-05 19:29:20.098064,1567.3
18,34,89,9,2025-08-24 06:46:39.848962,3166.29
19,744,282,8,2025-08-06 17:25:28.798559,1224.8
20,488,169,9,2024-12-28 17:03:59.120892,1467.9
21,971,471,3,2024-12-03 05:20:33.395284,139.17
22,667,22,1,2025-01-06 08:49:16.675452,277.4
23,261,114,1,2025-02-16 15:07:53.081708,444.25
24,843,200,4,2025-10-16 07:32:59.768609,94.32
25,314,310,1,2025-01-20 00:15:18.345262,178.34
26,76,213,1,2025-01-09 09:26:05.781879,204.38
27,4,234,5,2025-04-25 04:47:51.428431,1961.7
28,867,391,1,2025-04-08 17:37:05.140541,237.47
29,976,273,7,2025-06-05 18:56:04.418994,3040.45
30,584,257,8,2025-10-09 07:17:54.128957,1940.32
31,960,363,7,2025-07-19 07:46:21.163993,2143.54
32,473,266,7,2025-01-13 06:45:24.769839,2716.7
33,400,173,2,2025-07-04 21:38:27.224014,68.24
34,225,28,7,2025-10-30 13:36:48.220080,276.36
35,416,165,9,2025-05-15 11:41:40.333084,4225.86
36,929,66,4,2025-07-20 21:26:01.613358,1579.36
37,266,71,7,2025-04-13 11:33:02.132952,1677.97
38,933,189,7,2025-05-23 22:36:57.780853,398.02
39,149,228,2,2025-07-27 11:02:59.999353,779.22
40,921,246,3,2025-01-22 14:39:53.295357,1476.03
41,288,333,6,2025-10-08 11:22:24.433348,2245.5
42,386,259,5,2024-11-14 19:48:37.191180,1250.35
43,209,474,3,2025-04-18 10:19:26.748184,1448.91
44,345,397,1,2025-04-27 19:41:27.891572,40.7
45,69,24,1,2025-06-29 18:35:17.133463,229.89
46,779,398,5,2025-09-11 10:30:09.681287,178.25
47,862,126,5,2025-10-25 09:44:15.260001,2485.15
48,299,329,3,2025-07-10 04:13:52.388540,265.38
49,263,45,5,2025-11-05 13:24:50.222107,1838.55
50,32,337,8,2024-11-11 18:58:23.373471,2514.08
51,967,483,6,2025-03-27 15:34:33.413183,2666.22
52,336,99,7,2025-06-23 13:57:50.078944,2587.62
53,631,216,7,2025-07-13 11:13:24.867547,1811.81
54,563,214,4,2025-08-13 19:47:57.931023,1693.52
55,159,259,2,2025-07-01 21:50:45.062197,500.14
56,433,446,9,2025-08-16 00:18:05.132957,3845.52
57,115,89,7,2025-07-01 23:31:47.238157,2462.67
58,971,5,6,2025-01-17 17:09:15.928797,412.62
59,233,200,7,2025-06-06 20:12:39.898467,165.06
60,942,223,5,2025-06-16 10:46:26.045542,1682.4
61,199,432,1,2025-02-04 11:10:20.187683,64.94
62,764,458,9,2024-12-04 04:01:22.589993,1702.26
63,298,200,2,2025-03-01 06:32:03.416661,47.16
64,519,487,4,2025-02-11 14:16:53.986522,1957.92
65,858,208,4,2024-12-04 05:59:10.625286,1415.68
66,445,50,3,2025-11-03 04:25:14.235848,1065.54
67,680,372,3,2025-06-13 02:58:13.892437,543.66
68,421,390,8,2025-04-08 23:52:48.388657,3943.28
69,40,408,6,2024-12-05 21:26:34.901874,304.8
70,948,284,3,2025-05-19 20:42:52.122072,1131.78
71,698,320,3,2025-06-12 09:15:06.426979,991.68
72,107,64,1,2025-05-19 22:57:54.142434,68.35
73,499,319,2,2025-10-25 09:28:46.930208,826.26
74,954,278,2,2025-09-07 00:54:53.464071,499.98
75,955,183,8,2025-11-01 14:45:19.528939,2776.96
76,731,224,4,2025-09-17 23:11:59.497762,1490.2
77,339,135,4,2024-12-03 01:38:54.914679,1012.92
78,313,338,1,2025-04-19 15:16:04.671433,334.76
79,14,468,2,2025-01-02 09:56:38.941354,71.06
80,366,318,2,2025-09-05 08:30:25.564734,701.38
81,837,381,4,2025-02-19 22:21:42.603110,557.36
82,995,3,9,2025-06-07 08:54:25.576859,1583.28
83,987,111,9,2025-08-16 00:07:35.326272,3879.09
84,826,272,1,2025-04-05 03:36:19.241540,341.41
85,485,387,8,2024-12-05 18:25:03.794115,1628.48
86,153,289,9,2025-01-17 14:15:48.915149,1139.31
87,706,264,8,2025-06-10 12:20:53.356751,3218.88
88,358,82,9,2025-11-01 03:32:26.154149,4201.11
89,528,230,9,2025-03-21 17:45:34.368096,1074.96
90,71,170,3,2025-09-10 15:32:01.932518,608.88
91,910,97,7,2025-03-30 05:14:40.967762,1204.14
92,577,6,8,2025-05-17 14:49:45.168115,3264.4
93,32,192,9,2025-04-30 05:32:59.856436,291.69
94,819,452,6,2024-12-16 23:42:55.432701,2277.0
95,223,221,2,2025-10-16 19:01:49.724328,317.3
96,751,198,9,2025-07-12 11:01:19.374933,2461.77
97,518,467,7,2025-04-10 06:49:40.591883,2047.15
98,47,488,7,2024-11-14 13:19:36.199622,3052.42
99,337,197,4,2025-09-24 19:28:02.204002,452.68
100,58,294,1,2025-05-26 06:28:55.112273,319.33
101,21,185,3,2025-07-24 13:01:31.910250,372.87
102,485,322,7,2025-10-07 02:30:14.292722,1925.0
103,710,73,5,2025-05-19 08:14:56.369424,1842.25
104,880,313,4,2024-12-27 02:50:31.211187,664.76
105,692,385,2,2024-12-31 21:49:43.947117,690.1
106,273,324,3,2025-08-23 20:04:30.130161,1132.17
107,984,262,1,2025-10-28 17:58:09.138369,33.84
108,389,208,1,2025-06-14 19:38:24.960337,353.92
109,889,204,7,2025-10-04 16:18:33.283026,925.12
110,619,269,8,2025-06-23 13:47:48.852925,2659.2
111,824,494,1,2025-10-01 14:13:58.161824,292.28
112,485,29,3,2025-08-29 20:42:12.664849,1247.07
113,19,456,6,2025-03-23 08:46:20.674515,1185.84
114,459,32,8,2025-02-25 05:25:01.982712,3016.72
115,840,328,1,2025-07-25 07:21:24.285977,236.25
116,206,19,1,2025-10-30 23:40:31.465185,182.96
117,3,266,8,2025-04-20 05:35:55.070069,3104.8
118,199,331,2,2025-04-06 21:24:46.602310,256.44
119,24,285,2,2025-11-06 10:03:12.026586,407.84
120,206,218,3,2024-12-07 14:40:37.049953,845.88
121,716,419,3,2025-02-24 23:22:00.590659,1063.83
122,82,495,9,2025-01-11 18:41:19.040216,3436.38
123,434,14,8,2024-11-15 09:40:04.337008,3305.44
124,34,159,6,2025-09-24 14:07:08.779493,2805.78
125,72,488,8,2025-05-06 21:32:41.940318,3488.48
126,814,173,6,2025-04-12 14:22:08.895821,204.72
127,807,480,4,2025-09-07 03:50:36.117206,1865.56
128,427,174,2,2024-11-14 15:20:52.726328,568.68
129,819,73,3,2025-10-17 20:51:51.090740,1105.35
130,706,427,3,2025-01-21 13:54:51.565386,964.71
131,124,47,9,2024-12-03 11:39:57.980800,2256.84
132,491,332,5,2025-04-17 22:22:42.336512,1025.0
133,268,175,3,2025-04-02 17:37:52.086456,942.24
134,278,110,1,2025-03-03 10:21:47.074752,76.67
135,810,197,7,2025-01-29 08:43:39.789708,792.19
136,896,58,8,2025-09-13 05:52:32.626147,1462.4
137,391,207,4,2025-01-02 21:47:12.671637,190.88
138,266,19,2,2025-11-06 16:31:25.456158,365.92
139,621,218,6,2025-03-31 15:41:50.024140,1691.76
140,171,230,2,2024-11-28 04:35:10.593648,238.88
141,433,490,2,2025-09-07 03:15:17.404715,149.98
142,936,238,2,2025-06-12 16:51:26.405043,662.1
143,625,315,2,2025-10-29 01:03:59.729728,138.28
144,860,331,4,2025-02-27 06:06:36.512712,512.88
145,903,433,1,2025-09-12 13:31:37.545394,352.04
146,76,342,7,2025-06-10 08:38:49.241588,3034.64
147,923,356,5,2025-10-08 12:10:39.747356,297.25
148,837,214,4,2025-02-01 22:31:00.550267,1693.52
149,81,27,7,2025-04-26 03:33:48.842985,1490.58
150,871,401,2,2024-11-13 09:28:31.149066,37.84
151,967,94,4,2025-09-03 01:07:10.505323,1811.4
152,845,120,5,2025-03-06 09:41:53.186335,2363.65
153,857,105,1,2025-10-13 06:14:59.482244,27.69
154,385,326,2,2025-09-02 06:46:20.966791,533.0
155,285,80,2,2025-07-21 14:27:12.355412,243.8
156,217,266,1,2025-10-24 17:17:08.293874,388.1
157,263,397,8,2025-05-25 21:15:03.328188,325.6
158,66,36,5,2025-09-21 19:29:46.132624,658.0
159,957,152,7,2025-01-25 16:34:39.429853,1157.52
160,480,420,4,2025-07-25 07:29:45.317516,1851.32
161,385,119,2,2025-09-10 08:49:43.616601,131.92
162,241,50,1,2025-04-08 16:26:36.181094,355.18
163,193,218,7,2024-11-19 20:56:33.468391,1973.72
164,659,52,4,2025-01-27 15:08:57.773813,182.24
165,876,466,3,2025-03-21 13:25:11.452990,1124.76
166,71,202,3,2024-12-20 08:20:30.690411,1305.87
167,512,190,5,2024-12-20 10:27:18.461386,2144.95
168,726,77,2,2024-12-18 02:12:30.598735,212.12
169,446,244,8,2025-10-19 00:37:39.460127,3396.72
170,129,173,6,2024-11-14 09:16:58.660943,204.72
171,578,279,9,2024-12-25 10:09:27.336097,1684.44
172,691,318,6,2025-08-13 16:16:13.941822,2104.14
173,378,478,9,2025-10-31 14:54:38.573706,500.31
174,148,124,2,2025-02-17 23:01:31.773733,31.28
175,858,391,5,2024-12-23 00:09:22.574575,1187.35
176,921,63,1,2025-08-08 21:01:37.072004,362.28
177,263,384,4,2025-11-04 18:16:47.726967,1941.2
178,646,55,9,2025-09-11 01:08:54.260597,3225.51
179,951,254,9,2025-01-10 20:12:15.849093,3713.22
180,86,30,3,2025-06-30 04:10:07.048822,1399.74
181,78,299,3,2024-11-24 04:38:16.256941,1092.75
182,552,304,7,2025-01-08 08:43:53.834622,1454.32
183,393,485,6,2025-06-15 23:50:47.240690,2648.16
184,746,265,4,2025-02-12 04:18:37.589803,1548.6
185,175,140,7,2025-10-04 17:28:19.576298,1850.24
186,309,213,7,2024-11-20 20:47:03.997805,1430.66
187,955,368,9,2025-03-27 13:25:52.441350,2116.71
188,609,324,8,2025-02-14 23:14:09.445964,3019.12
189,440,341,7,2025-06-26 06:35:48.957894,1296.96
190,927,158,4,2025-07-06 04:59:00.981281,1138.84
191,104,346,2,2025-10-10 11:37:01.106390,185.74
192,910,62,2,2025-04-13 00:30:04.657806,361.78
193,744,134,2,2025-02-04 22:49:54.747429,91.82
194,242,129,6,2025-05-18 02:15:16.396014,2180.1
195,597,148,3,2025-05-28 00:39:31.077602,940.08
196,443,245,5,2025-04-19 14:13:23.842240,2003.9
197,257,191,9,2025-01-24 19:54:41.927403,2817.9
198,646,38,8,2025-09-16 16:19:55.061401,1567.84
199,481,329,9,2025-05-16 10:46:56.449675,796.14
200,283,214,5,2025-03-13 11:41:46.619648,2116.9
201,895,282,3,2025-01-30 02:07:31.446484,459.3
202,629,284,6,2025-10-17 18:21:41.414564,2263.56
203,624,427,2,2025-02-03 14:13:54.130895,643.14
204,224,380,9,2024-12-10 20:32:15.321749,2219.31
205,548,293,9,2024-11-07 05:57:22.582531,4156.29
206,784,365,2,2025-05-31 15:30:32.070556,774.04
207,57,216,3,2025-09-06 09:39:48.222191,776.49
208,991,176,1,2025-05-25 01:42:16.544076,336.09
209,777,341,5,2024-12-31 01:04:10.779079,926.4
210,476,23,6,2024-12-12 13:21:46.795240,2104.32
211,617,410,1,2025-03-11 13:17:35.697678,393.91
212,362,19,3,2025-03-17 01:12:20.857486,548.88
213,438,273,2,2025-02-19 16:56:31.045274,868.7
214,538,143,7,2025-02-04 20:31:51.658431,1736.56
215,926,134,7,2024-12-05 02:24:16.606817,321.37
216,501,331,8,2025-06-18 05:37:13.173094,1025.76
217,799,246,7,2024-12-30 02:43:46.242779,3444.07
218,668,139,7,2025-10-29 04:02:46.119325,2831.01
219,359,86,7,2025-06-12 22:49:58.075594,1956.71
220,280,141,3,2025-02-19 02:41:36.931929,209.73
221,675,38,3,2025-07-19 12:51:04.406223,587.94
222,227,253,9,2025-06-23 08:29:59.661751,96.39
223,892,147,4,2025-01-16 12:01:54.096872,170.12
224,833,336,4,2024-12-08 19:06:23.310016,1114.68
225,858,366,2,2024-12-11 17:56:27.477108,274.46
226,226,259,4,2025-11-05 10:31:19.387711,1000.28
