id,nome,categoria,preco,estoque,fornecedor
1,Voluptates Doloribus,Alimentos,283.37,748,Fogaça - ME
2,Tempore Ex,Casa,465.31,511,Castro
3,Sint Sunt,Esportes,355.98,880,Araújo da Mota S/A
4,Maiores Fugiat,Casa,293.73,483,da Cruz
5,Aliquid Aspernatur,Casa,263.06,782,da Mata
6,Tempora Necessitatibus,Esportes,459.41,373,Souza
7,Excepturi Occaecati,Casa,145.11,454,Dias Santos S.A.
8,Magnam Commodi,Livros,356.31,656,Lima
9,Officiis Quae,Alimentos,175.1,554,Martins Cardoso - ME
10,Nobis Officia,Roupas,218.93,85,Moraes
11,Voluptatum Sint,Casa,127.42,307,Caldeira - ME
12,Magnam Totam,Alimentos,339.07,90,Nunes
13,Veniam Pariatur,Alimentos,68.3,976,Nunes
14,Amet Eius,Livros,244.36,844,Gonçalves - EI
15,Consequuntur Amet,Alimentos,262.73,678,Silva Ltda.
16,Autem Velit,Casa,186.77,51,Carvalho Cardoso e Filhos
17,Tempora Soluta,Saúde,256.8,926,Souza
18,Doloremque Asperiores,Casa,331.38,836,Pires
19,Sed Velit,Alimentos,248.08,782,das Neves
20,Deserunt Veniam,Bebidas,31.24,313,Mendes
21,Dolore Perspiciatis,Livros,183.43,913,Correia Ribeiro - EI
22,Repudiandae Ab,Brinquedos,59.26,863,Porto Ramos S.A.
23,Reiciendis Nulla,Roupas,317.68,433,Lopes e Filhos
24,Corporis Fuga,Alimentos,325.7,333,da Rocha
25,Id Voluptas,Alimentos,142.46,197,Rezende Ltda.
26,Similique Ex,Alimentos,199.44,700,Teixeira Jesus S.A.
27,Exercitationem Temporibus,Roupas,360.16,782,Moraes
28,Quae Esse,Bebidas,59.77,531,Lima - EI
29,Tempore Harum,Alimentos,487.9,546,Oliveira S/A
30,Non Recusandae,Roupas,79.76,342,Jesus
31,Iure Totam,Beleza,47.66,137,da Luz
32,Sed Accusantium,Livros,89.04,478,Viana
33,Ab Similique,Eletrônicos,432.23,569,Novaes - EI
34,Autem Porro,Eletrônicos,21.36,178,Costela
35,Tempora Asperiores,Esportes,308.69,314,Duarte Ltda.
36,Necessitatibus Doloribus,Eletrônicos,394.83,605,Vieira - EI
37,Distinctio Sequi,Casa,326.61,977,Souza - ME
38,Dolore Adipisci,Brinquedos,178.37,183,Rezende da Paz e Filhos
39,Repellat Tenetur,Livros,422.83,545,Moura
