id,cliente_id,produto_id,quantidade,data_venda,valor_total
1,272,73,8,2025-02-03 02:34:22.291563,557.2
2,299,30,9,2025-11-03 08:25:45.399425,717.84
3,474,21,1,2025-10-29 18:16:40.679746,183.43
4,106,152,4,2025-10-24 06:13:25.462336,1200.72
5,234,338,1,2024-11-07 18:32:17.474027,94.08
6,529,95,8,2025-05-25 01:50:49.170737,3488.48
7,445,280,4,2024-11-22 23:28:54.803521,980.24
8,251,73,6,2024-11-10 17:49:32.504169,417.9
9,773,247,6,2025-07-13 08:50:55.499882,1973.82
10,692,169,7,2024-12-14 08:28:34.238853,2979.27
11,921,365,6,2025-06-24 17:52:44.535230,1914.96
12,920,370,3,2025-03-24 18:28:49.081502,486.48
13,312,157,3,2025-01-16 11:17:50.180968,588.78
14,739,287,2,2025-05-23 11:57:59.132334,73.04
15,97,373,9,2025-04-04 04:43:15.437464,3743.91
16,190,114,9,2025-08-15 17:25:13.878500,1259.82
17,131,21,3,2025-02-06 21:42:46.465526,550.29
18,703,204,5,2025-06-04 08:43:54.020162,1101.85
19,19,47,1,2025-07-11 14:03:11.994752,155.6
20,548,169,3,2025-04-16 03:13:29.381905,1276.83
21,101,88,1,2025-02-21 18:08:19.011453,368.55
22,24,43,8,2025-08-07 21:10:26.508754,3280.24
23,71,320,9,2025-10-20 11:09:22.871937,969.48
24,217,87,1,2024-12-11 02:32:17.005731,322.68
25,505,352,2,2025-07-27 12:00:52.489000,840.54
26,221,470,3,2025-08-16 07:21:45.630611,365.04
27,424,211,2,2025-05-09 02:54:05.037511,491.78
28,368,463,8,2025-01-22 12:52:34.824703,1044.48
29,367,338,3,2024-12-19 14:19:26.449184,282.24
30,938,208,8,2025-04-19 19:04:47.927204,245.6
31,146,270,3,2025-09-19 04:23:03.542772,878.31
32,385,16,6,2025-03-26 05:28:00.096386,1120.62
33,930,492,8,2025-03-05 03:17:02.630866,947.92
34,10,54,2,2025-03-10 12:33:51.176830,734.96
35,359,199,6,2025-07-11 14:21:03.645112,124.68
36,507,408,8,2025-01-26 09:25:32.674448,569.2
37,156,219,6,2025-08-15 03:50:40.054086,723.3
38,33,365,5,2025-09-10 10:25:10.061684,1595.8
39,504,487,8,2025-10-28 01:32:12.919005,3023.28
40,387,140,8,2024-11-12 08:13:34.034708,264.16
41,942,384,5,2025-09-07 10:11:47.779303,1336.85
42,670,470,5,2025-07-17 19:20:17.433483,608.4
43,43,353,8,2025-01-15 05:17:12.610093,457.36
44,976,198,2,2025-05-09 21:11:14.037601,132.58
45,748,399,3,2025-08-05 08:26:29.981322,821.64
46,874,458,2,2025-07-20 18:59:42.404181,429.16
47,581,181,2,2025-03-03 21:53:14.222414,704.62
48,517,338,1,2025-08-26 09:59:22.330978,94.08
49,135,66,9,2025-08-09 22:24:43.430278,4362.48
50,403,254,1,2025-08-06 20:16:02.704382,82.77
